Time,load,ext
sec,lbs,in
5.289999723,158.23817,0.006551181
5.299999952,160.68515,0.006559055
5.310000181,159.05385,0.006570866
5.32000041,160.68515,0.006578741
5.329999685,161.50082,0.006590551
5.339999914,160.68515,0.006598425
5.350000143,163.9478,0.006606299
5.360000372,162.31647,0.006618111
5.369999647,163.9478,0.006625984
5.379999876,165.57912,0.006633859
5.390000105,163.9478,0.006641733
5.400000334,166.39479,0.00664567
5.409999609,165.57912,0.006653544
5.419999838,166.39479,0.006661417
5.430000067,168.0261,0.006669291
5.440000296,166.39479,0.006677165
5.449999571,169.65741,0.00668504
5.4599998,168.0261,0.006692913
5.470000029,169.65741,0.006700788
5.480000257,170.47308,0.006708662
5.489999533,169.65741,0.006716536
5.499999762,172.10442,0.00672441
5.50999999,170.47308,0.006732284
5.520000219,172.10442,0.006740158
5.529999495,173.73573,0.006748031
5.539999723,172.10442,0.006755906
5.549999952,175.36705,0.00676378
5.560000181,172.92006,0.006771653
5.57000041,175.36705,0.006783465
5.579999685,176.18271,0.006791339
5.589999914,176.18271,0.006799213
5.600000143,177.81403,0.006811023
5.610000372,176.99837,0.006818898
5.619999647,178.62968,0.006826771
5.629999876,179.44536,0.006838583
5.640000105,178.62968,0.006846457
5.650000334,181.89233,0.006854331
5.659999609,180.261,0.006862205
5.669999838,181.89233,0.006870079
5.680000067,182.708,0.006877953
5.690000296,181.89233,0.006885827
5.699999571,184.33932,0.006893701
5.7099998,183.52365,0.006901575
5.720000029,184.33932,0.006909449
5.730000257,185.15497,0.006917323
5.739999533,184.33932,0.006925197
5.749999762,187.60196,0.006933071
5.75999999,185.15497,0.006940945
5.770000219,186.7863,0.006948819
5.779999495,188.41762,0.006956693
5.789999723,186.7863,0.006964567
5.799999952,190.04895,0.006972441
5.810000181,189.23328,0.006980315
5.82000041,190.04895,0.006988189
5.829999685,191.68027,0.006996063
5.839999914,190.04895,0.007003937
5.850000143,193.31157,0.007011811
5.860000372,191.68027,0.007019685
5.869999647,192.49593,0.007031497
5.879999876,194.12724,0.00703937
5.890000105,193.31157,0.007047244
5.900000334,195.75856,0.007059055
5.909999609,194.9429,0.007066929
5.919999838,196.57422,0.007074803
5.930000067,197.3899,0.007082677
5.940000296,196.57422,0.007094489
5.949999571,199.83687,0.007102362
5.9599998,198.20554,0.007110236
5.970000029,199.02121,0.00711811
5.980000257,200.65254,0.007125984
5.989999533,199.02121,0.007133858
5.999999762,202.28386,0.007141732
6.00999999,200.65254,0.007149607
6.020000219,202.28386,0.00715748
6.029999495,203.09952,0.007165355
6.039999723,203.09952,0.007173229
6.049999952,204.73083,0.007181103
6.060000181,203.91516,0.007188976
6.07000041,205.5465,0.007192913
6.079999685,206.36215,0.007204725
6.089999914,204.73083,0.007212598
6.100000143,207.99348,0.007220473
6.110000372,206.36215,0.007228347
6.119999647,208.80913,0.007236221
6.129999876,209.6248,0.007244095
6.140000105,208.80913,0.007255906
6.150000334,211.2561,0.007263779
6.159999609,209.6248,0.007275591
6.169999838,212.07178,0.007283465
6.180000067,212.88744,0.007291338
6.190000296,212.07178,0.00730315
6.199999571,214.51875,0.007311024
6.2099998,213.7031,0.007318898
6.220000029,215.33443,0.007326772
6.230000257,216.15009,0.007334646
6.239999533,215.33443,0.00734252
6.249999762,217.7814,0.007350394
6.25999999,216.15009,0.007358268
6.270000219,217.7814,0.007366142
6.279999495,219.41272,0.007374016
6.289999723,217.7814,0.00738189
6.299999952,221.04405,0.007389764
6.310000181,219.41272,0.007397638
6.32000041,221.04405,0.007405512
6.329999685,221.8597,0.007413385
6.339999914,221.04405,0.00742126
6.350000143,223.49103,0.007429134
6.360000372,222.67537,0.007437008
6.369999647,222.67537,0.007444882
6.379999876,225.12234,0.007452756
6.390000105,224.30669,0.00746063
6.400000334,226.75366,0.007468504
6.409999609,225.12234,0.007476378
6.419999838,226.75366,0.007488189
6.430000067,228.385,0.007496063
6.440000296,227.56934,0.007503937
6.449999571,230.01631,0.007515748
6.4599998,228.385,0.007523622
6.470000029,230.01631,0.007531496
6.480000257,230.83197,0.00753937
6.489999533,230.83197,0.007547244
6.499999762,233.27896,0.007559056
6.50999999,231.64764,0.007566929
6.520000219,233.27896,0.007574803
6.529999495,234.91028,0.007582677
6.539999723,234.09462,0.007590551
6.549999952,236.54161,0.007598425
6.560000181,234.91028,0.007606299
6.57000041,236.54161,0.007614174
6.579999685,238.17291,0.007622047
6.589999914,236.54161,0.007629922
6.600000143,238.98859,0.007637795
6.610000372,237.35725,0.007645669
6.619999647,239.80423,0.007653543
6.629999876,240.6199,0.007661417
6.640000105,239.80423,0.007669292
6.650000334,242.25122,0.007677165
6.659999609,239.80423,0.007681103
6.669999838,242.25122,0.007692914
6.680000067,243.88255,0.007700788
6.690000296,242.25122,0.007708662
6.699999571,244.69821,0.007716535
6.7099998,243.06688,0.007728346
6.720000029,245.51387,0.007736221
6.730000257,247.1452,0.007744094
6.739999533,246.32953,0.007755906
6.749999762,248.7765,0.00776378
6.75999999,247.1452,0.007775591
6.770000219,248.7765,0.007783465
6.779999495,250.40782,0.007791339
6.789999723,249.59218,0.00780315
6.799999952,252.03915,0.007811023
6.810000181,251.2235,0.007818897
6.82000041,252.85481,0.007826772
6.829999685,254.48615,0.007834646
6.839999914,252.85481,0.00784252
6.850000143,255.30179,0.007850394
6.860000372,254.48615,0.007858268
6.869999647,254.48615,0.007862205
6.879999876,256.11746,0.007870079
6.890000105,255.30179,0.007877952
6.900000334,257.74878,0.007885827
6.909999609,255.30179,0.007893701
6.919999838,257.74878,0.007901575
6.930000067,259.3801,0.007909449
6.940000296,258.56442,0.007917323
6.949999571,261.0114,0.007925198
6.9599998,259.3801,0.007937009
6.970000029,260.19577,0.007944882
6.980000257,263.4584,0.007956693
6.989999533,261.8271,0.007964567
6.999999762,265.08972,0.007976378
7.00999999,263.4584,0.007984252
7.020000219,265.08972,0.007996064
7.029999495,265.90536,0.008003937
7.039999723,265.90536,0.008011811
7.049999952,268.35236,0.008023622
7.060000181,267.5367,0.008031496
7.07000041,268.35236,0.00803937
7.079999685,269.9837,0.008047245
7.089999914,269.16803,0.008051181
7.100000143,272.43066,0.008059056
7.110000372,270.79935,0.008066929
7.119999647,271.61502,0.008074803
7.129999876,273.2463,0.008082678
7.140000105,271.61502,0.008090551
7.150000334,274.87766,0.008098425
7.159999609,273.2463,0.008106299
7.169999838,274.87766,0.008114173
7.180000067,275.69333,0.008122047
7.190000296,274.87766,0.008129922
7.199999571,278.1403,0.008137795
7.2099998,276.50897,0.00814567
7.220000029,278.1403,0.008153544
7.230000257,279.7716,0.008161418
7.239999533,278.1403,0.008173228
7.249999762,281.40292,0.008181103
7.25999999,280.58728,0.008188976
7.270000219,281.40292,0.00819685
7.279999495,283.03424,0.008208661
7.289999723,282.21863,0.008216536
7.299999952,284.6656,0.00822441
7.310000181,283.03424,0.008232283
7.32000041,284.6656,0.008240158
7.329999685,285.48123,0.008248031
7.339999914,284.6656,0.008255906
7.350000143,287.92822,0.00826378
7.360000372,287.11258,0.008271653
7.369999647,287.92822,0.008279528
7.379999876,289.55954,0.008287402
7.390000105,287.92822,0.008295276
7.400000334,291.1909,0.00830315
7.409999609,289.55954,0.008311024
7.419999838,291.1909,0.008318897
7.430000067,292.82217,0.008330708
7.440000296,291.1909,0.008338583
7.449999571,293.63785,0.008346457
7.4599998,292.82217,0.00835433
7.470000029,293.63785,0.008362205
7.480000257,296.08484,0.008370079
7.489999533,294.4535,0.008377953
7.499999762,297.71616,0.008385827
7.50999999,296.08484,0.0083937
7.520000219,296.9005,0.008401575
7.529999495,299.34747,0.008409449
7.539999723,297.71616,0.008417323
7.549999952,300.16312,0.008425197
7.560000181,299.34747,0.008433071
7.57000041,300.16312,0.008440945
7.579999685,301.79446,0.00844882
7.589999914,300.9788,0.008460631
7.600000143,304.24142,0.008468504
7.610000372,302.61014,0.008476377
7.619999647,303.42575,0.008488189
7.629999876,305.87277,0.008496063
7.640000105,305.0571,0.008503937
7.650000334,306.68842,0.008511812
7.659999609,306.68842,0.008523623
7.669999838,308.31973,0.008531496
7.680000067,309.13538,0.00853937
7.690000296,308.31973,0.008547244
7.699999571,310.76672,0.008555118
7.7099998,309.13538,0.008562992
7.720000029,309.95105,0.008570867
7.730000257,312.39804,0.00857874
7.739999533,311.5824,0.008586614
7.749999762,314.02936,0.008590551
7.75999999,312.39804,0.008598425
7.770000219,313.2137,0.0086063
7.779999495,314.84503,0.008614173
7.789999723,314.02936,0.008622048
7.799999952,316.47635,0.008629921
7.810000181,314.84503,0.008637795
7.82000041,316.47635,0.008649606
7.829999685,318.1077,0.008657481
7.839999914,318.1077,0.008669292
7.850000143,320.55466,0.008677166
7.860000372,318.9233,0.008688977
7.869999647,320.55466,0.00869685
7.879999876,322.18597,0.008708661
7.890000105,321.3703,0.008716536
7.900000334,324.63293,0.008724409
7.909999609,323.8173,0.008732284
7.919999838,324.63293,0.008740158
7.930000067,326.26428,0.008751969
7.940000296,325.4486,0.008755906
7.949999571,327.07993,0.00876378
7.9599998,325.4486,0.008771653
7.970000029,327.8956,0.008779528
7.980000257,329.52692,0.008787402
7.989999533,327.07993,0.008795275
7.999999762,331.15823,0.00880315
8.00999999,329.52692,0.008811024
8.020000219,330.34256,0.008818897
8.029999495,331.9739,0.008826772
8.039999723,331.15823,0.008834646
8.049999952,333.60522,0.00884252
8.060000181,332.78958,0.008850394
8.07000041,333.60522,0.008858267
8.079999685,335.23654,0.008866142
8.089999914,334.42087,0.008877953
8.100000143,336.86786,0.008885827
8.110000372,336.0522,0.008893701
8.119999647,336.86786,0.008905512
8.129999876,338.4992,0.008913387
8.140000105,337.68353,0.008925197
8.150000334,340.94617,0.008933071
8.159999609,340.1305,0.008944882
8.169999838,340.94617,0.008952756
8.180000067,342.57748,0.00896063
